nombre,temp_media,temp_maxima,precipitacion_total,altitud,temp_score,prec_score,alt_score,riesgo_total
RINCÓN DE LA VICTORIA,22.46,33.0,230.4,7.0,0.9736211031175062,0.747410154751247,0.9933422103861518,0.912
MÁLAGA,21.31,33.0,194.2,25.0,0.6978417266187048,0.7937076352474741,0.9693741677762983,0.808
VÉLEZ-MÁLAGA,21.63,33.4,296.4,41.0,0.7745803357314146,0.6630003836807776,0.948069241011984,0.793
"MÁLAGA, CENTRO METEOROLÓGICO",21.36,34.4,239.2,54.0,0.7098321342925659,0.7361555186085178,0.9307589880159787,0.784
MÁLAGA AEROPUERTO,21.19,36.2,252.0,6.0,0.6690647482014392,0.719785138764548,0.9946737683089214,0.782
ANTEQUERA AYUNTAMIENTO (AUTOMÁTICA THIES),22.57,31.8,91.0,515.0,1.0,0.9256938227394808,0.3169107856191744,0.773
ÁLORA,21.59,35.9,215.2,172.0,0.7649880095923262,0.7668499808159611,0.7736351531291611,0.768
COÍN,21.71,35.0,257.0,230.0,0.7937649880095925,0.7133904591379971,0.696404793608522,0.74
TORREMOLINOS,21.23,36.4,353.8,85.0,0.6786570743405277,0.5895894615679753,0.8894806924101198,0.715
"MARBELLA, PUERTO",19.85,30.1,116.2,2.0,0.347721822541967,0.8934646374216652,1.0,0.707
MARBELLA,20.52,29.4,286.6,2.0,0.5083932853717027,0.6755339557488169,1.0,0.706
ALGARROBO,20.36,30.4,266.5,40.0,0.47002398081534774,0.7012405678475508,0.9494007989347537,0.683
ESTEPONA,21.01,32.0,498.8,19.0,0.62589928057554,0.4041437523980048,0.9773635153129161,0.665
MANILVA,20.38,32.6,245.4,140.0,0.474820143884892,0.7282261158715948,0.8162450066577897,0.653
NERJA,20.67,30.8,331.8,169.0,0.5443645083932859,0.6177260519247985,0.7776298268974701,0.636
BENAHAVÍS,19.99,33.3,505.4,392.0,0.3812949640287768,0.3957027752909579,0.4806924101198402,0.415
FUENTE DE PIEDRA,19.07,31.4,270.8,420.0,0.16067146282973654,0.6957411433687173,0.44340878828229024,0.406
ANTEQUERA,18.67,31.2,291.1,408.0,0.06474820143884964,0.6697787440849212,0.4593874833555259,0.365
RONDA INSTITUTO,19.14,31.4,262.0,753.0,0.17745803357314188,0.7069957795114465,0.0,0.283
CORTES DE LA FRONTERA,19.2,31.8,814.8,315.0,0.19184652278177466,0.0,0.5832223701731025,0.252
ALPANDEIRE,19.83,33.3,718.2,676.0,0.3429256594724219,0.12354521038495958,0.10252996005326231,0.205
GAUCÍN,18.4,30.6,756.0,594.0,0.0,0.07520143240823629,0.21171770972037285,0.086
FUENGIROLA,,,297.6,8.0,,0.6614656605704053,0.9920106524633822,
TORROX,,,32.9,3.0,,1.0,0.9986684420772304,
